"","review_text"
"50","Thid book is great for SQL begginers.
Simple, coherent, well organized and understandable.
I bought the ebook version and enjoyed it a lot.
It's a fun book to learn with."
"51","Well written and easy to follow along."
"52","This is a great starting book into the journey of sql. Thought it would have a bit more substance but will be a great resource if you need a quick answer."
"53","If you are a beginner or acquainted with SQL, this book takes you extra mile to understand and learn more.The flow of the contents and simple presentation are amazing. The free resorces are good opportunity to practice SQL at home. I recommend this book for anyone who is intrested in learning SQL. I like it, Good Job!!"
"54","I was actually quite surprised and pleased, at the amount of info in this book at the price. It goes a little beyond your basic SQL beginners guide. You will finish this book with a great understanding of SQL. Thank you for a quality product at a great price."
"55","I am a professor and use this book for my database class. Students really like it!"
"56","I had no idea that it could be so simple to learn SQL! I'm not great with technology but this book made understanding SQL very easy. I have no doubt that I can master this new skill and thus further my career."
"57","I needed a quick review of SQL and this book was fantastic. I've always had trouble with joins and this book explains them in such a way that I doubt I'll ever have issues again. Highly recommend if you are familiar with databases in general."
"58","Great for begginers. Easy to understand and good real life examples. I highly recommend this book. This is called a must!!"
"59","You get a database to practice your skills on. You are expertly guided through the beginning steps and commands to learn SQL. After using this guide you will have the confidence to continue learning SQL on your own. A very good tool for beginners."
"60","I'm familiar with Access database however I'm feel fairly new to SQL even though I have taken several classes through the college.I just feel like I am missing something. This book has helped in some areas however it only goes into how to extract information from the db it does get into how to create the a db or joining tables which is the area I need help in. It is very to the point and easy to understand though, its a nice change compare to all of the other books out there about SQL."
"61","Very good book, everything is explained in a very easy way and clearly!"
"62","Not what i had expected. Needed examples to pull it all together but very short ebook and 1 or 2 examples."
"63","An awesome book for beginners who are absolutely new to sql. Reading this books feels as if you are taking an instructor lead class. Highly recommended book."
"64","This QuickStart guide provides a clear overview of relational databases and guidance on how to write SQL queries. Helpful and painless."
"65","Very clear and easy to follow. Great supplement to class materials."
"66","My new job uses SQL as its primary tool and I had zero experience. I love how this book gave me a quick way to hit the ground running without using over-the-top technical jargon."
"67","Great Start to learning my new career !"
"68","I really appreciated reading this quick start book to SQL. Ashamed to say that I have dealt with many databases, macros, etc but cannot tell you the formal name nor exactly why things work the way they do. I started to noticing that I really was not familiar with and methods. I was outdated in information and desperately needed to learn and freshen up my vocabulary.

This book helped me tremendously and was an easy read.

I received a discount which may include free on this item for inspection, testing, and honest reviewing purposes. My review is based solely on my personal and my family’s experience with it. I am in no way obligated to give a positive review and I am in no way financially compensated for the review."
"69","This is the best inexpensive SQL intro book I've found. Well organized, well edited, and pretty easy to learn from."
"70","The book talks covers most of the core syntax’s you will use in SQL. For the price, this is a good book to start getting familiar with SQL."
"71","Great Book, Cover important information about SQL, Great Examples."
"72","Didn’t go into detail. This was more of a broad overview in my opinion. It does give you a basic understanding to build upon."
"73","Nice introduction for SQL. Helps explain what it is and what it does and how it is different from other similar items."
"74","its a good start."
"75","Good information"
"76","Good basic information to start using SQL"
"77","I used this as a reference since I knew nothing about SQL."
"78","Not simplified at all"
"79","This e-book is a great intro to SQL. The format is easy to absorb, and learn."
"80","Bought this to help me pick up on the language as I use it more and more at work. Great intro to sql, time to move on to more intricate SQL books!"
"81","Good beginner content."
"82","The free promotional items the company gives you just for buying this product alone make it worth the five stars I have given it, and the product itself is amazing. I should start by noting that I received this product about 5 days ago and I am currently halfway done with it. This is not a book that teaches you the very basics of computer programming and assumes that you already have a basic grasp of the fundamentals such as arrays which you definitely should if you are even the slightest bit interested in learning SQL. The book begins by teaching you about what the program is, how it is becoming a valued skill in the world, and why it is a better programming language than others. It makes a language that most people consider highly advanced and more and more difficult the more you use it very easy to grasp in a way that could potentially change your entire career. I am not a computer science expert myself and have only a basic understanding of programming language, mostly java, but I was able to read this book and understand almost all of it without a problem. My computer science friends are even surprised by how much I was able to learn about this programming language that they consider impossible in such a short amount of time. I highly recommend this product if you have any interest at all in learning a new programming language or just giving yourself another skill because they make it very simple to learn. Disclosure: I received this product for free or on a promotional discount for my honest review and they are 100% my own opinions. However everyone has their own opinion on this product. I did not receive payment other than receiving the product at a discounted rate and I am not required to give a good review. I know how important my reviews are to people who are interested in buying this product, because everyone should be reading reviews before they purchase a product. What I include is what I actually think about the product and my opinion alone. My reviews accurately reflect my views on this product and any 5 star product I would recommend to both my friends and family as well as purchase at full price. This disclosure is in accordance with the Federal Trade Commission’s Guidelines on Testimony and Advertising. I provide honest reviews that describe the product it entirety both the positive and negatives (if there are any). If my review was helpful to you, would you please vote yes!"
"83","Perfect SQL textbook for beginners.
I definitely recommend this."
"84","Extremely easy-to-follow material for beginners wanting to learn SQL!"
"85","Meant for newbies."
"86","Quick read with plain language."
"87","Perfect quick start guide, I will definitely be adding this to my library of tech support books.

** I received this item at a discounted rate in exchange for a fair, honest and unbiased review. I only buy products that my family and I will use. I only give a 5 star rating when the product is excellent. I base my review on durability, material, function and if it meets the description given by the seller. If I feel that I can't give at least a 4 or 5 star rating then I contact the seller and try to resolve the problem or explain my difficulty in giving them a really good review. Sometimes I feel like you can only say so many things about the product and my reviews may seem short. I am a straight to the point type of person and don’t like to babble on about every single facet of a product. If you have a specific question, just ask; my response time is incredibly quick! You can be rest assured that my reviews are not only for the sellers benefit but for the consumers looking to purchase said product as well.**"
"88","OK"
"89","Very simplistic and easy to read, it explains everything quite well and in the back it includes a link to learn more online!"
"90","Very good book simple and easy to.understand."
"91","This SQL guide helps like me for a such a beginner.I also recommended this to my friends.This really helps me a lot since I'm planning to go back to school.I get this a discount from a seller."
"92","meh"
"93","Prior to reading the ""SQL QuickStart Guide"", I knew nothing whatever about SQL, except that it was used with databases. This review reflects the experience of a beginner wishing to learn a new language.

In return for a review, I Was offered the ebook for download. I was able to download the book without difficulty to both my Macintosh computer and to my Kindle Fire. A direct download to my Paperwhite Kindle was apparently successful, but the device could not open the downloaded file. I was able, however, to transfer the book from my computer to either Kindle without difficulty.

Although the text was attractive in the Paperwhite Kindle, the tables were so tiny that a magnifying glass was necessary to read them. The Kindle Fire allowed me to magnify the tables, as did my computer. The ebook is substantially cheaper than either the paperback or the hardback, but the book needs to be read on a device that allows zooming in on the tables.

I had no difficulty downloading the sTunes Database and the DB Browser for SQLite from the publisher's website. Both are necessary to use the book effectively.

The author's English is informal, fluent, and articulate. The book does not read like a technical manual. He was careful to define technical terms as they occurred and provided a glossary at the back of the book. There is a detailed Table of Contents. The ebook did not include an index, since the digital text could be searched directly. I do not know if there is an index in the paperback and hardback editions.

The results of SQL queries were shown in the earlier chapters, but less often in the later ones, after the reader had become accustomed to the SQLite browser.

It is difficult to rid a technical book entirely of misprints, and there are a few in the ""SQL QuickStart Guide."" The only one that impeded my progress was an error in figure 65, where the primary key for invoice_items, ""InvoiceLineId"", was printed as ""InvoiceItemId"". The publisher is in the process of setting up, on their website, an ""Errata"" page for this and other technical manuals.

There are two appendices. The first provides solutions to the Data Analysis questions asked at the ends of the technical chapters. The questions were not difficult, but the answers were welcome. The second appendix summarizes the keywords introduced in chapters 4 through 10. An expansion of this appendix would be helpful.

In addition to the technical information in Chapters 3 through 10, the author provides information about himself, SQL, and careers in data access and analysis.

To summarize, I was able to work my way through the book in two weeks, so it did an excellent job of providing a beginner with a working knowledge of SQL. I look forward to trying out my new skills on another database."
"94","This is a wonderful book on getting started with the SQL programming language. The breakdown of the book into sections that allow the reader to come back and refer to sections as they grow in their skillset or need a refresher shows a great deal about how the author (Walter) understands his students and has been teaching for a while. His background story is inspiring and provides reasoning why he put so much into this quality material. I found the examples easy to follow and the example code also good. I have been a database professional for over twenty years and I get asked a lot about books to help those starting out. I recommend this book for those wanting a solid understanding and some good examples that can be applied to work/school."
"95","I've used this Kindle version to study all of the examples from front too back.

You can download a sample database for a music store and browser called DBbrowser from the Clydebank publisher. The database has 14 tables you can use to test your SQL code.

Here's a great way to study from the Kindle book
-o- Open the book in your laptop/desktop Kindle reader on the left side of your monitor.
-o- Open the DBbrowser included with the book supplement

Comb through the book chapter by chapter and test the SQL snippets yourself.

The author provides comments on the SQL statements that come from his corporate experience.

I'd buy this again.
This is a well organized, easy to follow introduction to the SQL language."
"96","This is the perfect starter's guide for anyone completely new to SQL. I work with MS SQL daily. I have literally read dozens of books and attended numerous SQL courses. Although I am myself now proficient in SQL, I'm always looking for the easiest way to teach it to people who I work with that have no SQL experience whatsoever. The single biggest problem with every book I've tried up to this point is how they overcomplicate simple descriptions. Even the my ""Teach yourself SQL in 10 minutes"" is way too wordy at times. This truly is a ""SIMPLIFIED"" beginner's guide, just as it's titled. The best part about this book is it gets right down to the nitty gritty. It doesn't confuse you by throwing a ton of superfluous info at you all at once. It basically reads as such: ""This is something you can do; this is why you do it; and this is how you do it"". It's as simple as that. For example, in the chapter about joins, this guide quickly says why you need a join (to combine data from two tables based on a common record), the different type of joins and terminologies with simple examples: Inner, outer, left, right, full, etc. You really get up to speed on joins fairly quickly. By comparison, the ""10 minute"" guide first goes into a long-winded explanation about relational tables, then another chapter about why you should use joins and then, finally it gets into examples. That's pretty much the difference with everything between this guide and most of the other ""easy"" or ""quick"" guides. This guide actually lives up to those claims. Even if you're a a moderately experienced SQL user, it makes a great pocket reference. If you have a pretty good amount of SQL experience, this book won't be much benefit because you almost certainly already know everything in it.

I'm not saying the 10-minute guide and similar books are bad. Not at all. It is definitely important to learn the mechanics, reasoning and logic behind the actions you perform. You absolutely should eventually learn how relational databases work and build a strong foundation of the fundamentals of SQL or you'll eventually run into problems once you start creating more complex queries and stored procedures. Even some simple but very important fundamentals like using aliases and subqueries with WHERE clause while knowing the order in which SQL processes data are better explained in books like ""10 minutes"". However, if you have a project coming due or were just tasked with working with SQL (it happens quite frequently believe it or not) and need to get up to speed as fast as possible without all the fluff, this is your best bet. During my very first SQL class a few years ago, I was instructed to purchase the official Microsoft guide to querying SQL Server. I'm sorry, but that book was the absolute worst recommendation to someone completely new to SQL. To this day, I don't think I've read more than 10 pages of it because it reads like an overly complicated technical manual. This is the best introduction to SQL that I've found to date. It really helps you hit the ground running.

That's not to say it's perfect. The table of contents could use some tweaking to fine-tune it down to individual topics instead of overly broad scopes, at least in the Kindle version that I have. The topics are individually listed in the sample but on my Kindle, there are only four chapters with no way to select subtopics. For instance, in the sample, it has ""Chapter 1: Retrieving Data With SQL"" and has sixteen sub-topics including SELECT, FROM, TOP WHERE, ORDER BY, NULL, etc. On my Kindle, it simply says Chapter 1: Retrieving Data With SQL and nothing more. There are no sub-topics you can quickly click. You have to read through the chapter an bookmark each topic to get to it faster later. I don't know if this is an issue with all Kindle versions or just mine but it's worth mentioning. Also, as I said, if you really want to learn all the ins and outs of SQL, you'll want a more detailed book. Just make sure it's not way too detailed. There are also a ton of free SQL resources and free courses online as well. If you do a web search for ""learn SQL"" you'll find tons of good resources that will compliment this very reasonably priced book."
"97","I am a senior sql developer with decades of experience, and was happy to review this book for accuracy. It is a great way for a beginner to learn the basics of sql databases. Also the reader is directed to use sqlite, which is absolutely free. So there is no barrier to have to buy any products or licensing. The exercises in the book are also available on the author's web page, which is a big help."
"98","This book is and does exactly what it claims to be and to do. It provides the database novice the necessary basics for analyzing, manipulating, and managing an RDBMS using SQL. It is a very good introductory first step and provides cogent exercises for the reader to develop SQL competence via real world exercises using a convenient downloadable fully populated database. I recommend this book to anyone interested in getting their toes wet in the world of SQL and RDBMS. This review is for the eBook version."
"99","One of the biggest hurdles to learning programming languages is getting over the technical jargon. It's a real challenge but, Walter Shields has made SQL concepts and query writing so accessible in this book. Sometimes technical authors put their foot in their own way with their communications styles - both written and verbal. However, this book reads like a Sunday newspaper-- very clear but substantial.

I was not sure what to expect when I bought this book. But, I can literally write SQL queries after reading this book. Don't underestimate this book and conclude that you will only learn a few useless statements and that's it. This book will teach you how to listen to your organization's business needs and how to use SQL to translate them into a solution.

I use to listen to Data Scientists in awe and confusion. But, now I feel like I can communicate with the best SQL experts.

BUY THIS BOOK!"
"100","I came to this book with no SQL experience, and very little database experience at all--but I have moderate experience with HTML, Excel, and a little tiny bit of programming. The guide is very well organized and easy to get into, from the beginning (how to get started with a free version of a SQL program) and forward through clear exercises of increasing complexity. Highly recommended to anyone interested in getting their feet wet in SQL!
(Note: I received a free copy of this book thanks to the LibraryThing Early Reviewers program)"
"101","In more than 30 years of purchasing and using computer and IT textbooks and instruction manuals, I have to say that this one is the most valuable and useful. Most of the credit goes to the author, who writes in a conversational style while at the same time, does not waste his words. He is a gifted teacher. The book is available in different formats, and I recommend the spiral-bound version, which makes the book useful while you are learning or working. It has always puzzled me why textbooks and so many of the gargantuan instruction manuals are not published spiral bound. It is practically impossible to use them while you are trying to follow their instructions."
"102","Excellent book. I actually know SQL and have a great deal of experience with it (18 years). So, I'm very qualified to review this book. I haven't worked with SQL, though, in two years. Which is why I wanted this book. A refresher. Plus, I think even the experienced can learn something from someone who has written about a topic exceedingly well. I did learn a great deal. The author writes in a way that is lacking from nearly every technical book on the market. His explanations, style of writing, everything, are fantastic. I only wished he wrote all the technical books I needed to read or want to own! Fantastic guide to have on hand. I have it on my computer and on my phone so that I'm never without out."
"103","The author's passion for teaching comes through in the organization of the guide! The Quick Start Guide allows the beginners to jump in and start learning (the best way to learn, in my estimation); users with some experience will enjoy the guide as a good tool to review the key elements of working with data.

The concepts, terminology, and the tools are configured well to help the beginner to tackle the learning while keeping the information accessible (the book doesn't throw a lot of jargon at you which can be intimidating for a beginner); as a result, the user can practice, make mistakes, and learn in a safe way, leading to absorbing the material and gaining confidence.

The use of SQL is broken down into the logical components so the user can understand how to use it to get to the desired output. The end goal, after all, is to use the tool/data to be able to build expertise in analyzing to get insights into what the data has in store. This is the key expertise for all data-related skills needed in the marketplace."
"104","I received a copy of the book on request. I have a working knowledge of SQL, but have occasions to recommend good training and teaching material. The author states he is the son of an educator in literature and it shows. He is articulate and concise, giving the information needed without excess verbiage and fluff. He shows good teaching ability himself anticipating problems that could be encountered and shortcuts students (readers) might take and gives appropriate solutions. Exercises at the end of chapters are stretching, regularly posing questions the answers for which have not yet been given, but soon will be. The book would make a good reference for beginning to intermediate SQL users. Anyone with an interest in, or need for understanding SQL would benefit from reading the book and using it as a training guide."
"105","I am starting chapter 4 and I really like the teaching style of the author: simple, concise, and understandable with lots of supporting figures. An important element of Shield's teaching style is repetition. In learning new material this is an important element and Shields handles it gracefully.
A benefit I hadn't expected is access to lots of supporting materials such as cheat sheets, videos, software links, and instructions on installing DB Browser for SQLite along with a practice file used in the Guide.
It is exactly what the title says: A Quick Start Guide.
Overall: this Guide is done very nicely."
"106","I want to start this review by mentioning that I did not have any experience or prior knowledge of this particular topic prior to reading this book. I do not have any kind of background in SQL whatsoever so its difficult for me to gauge the knowledge itself that you get from this book. However, I would like to mention that this book is easy to read. I want to mention this first because this is the most important factor to me in trying to read a text for the knowledge and not for entertainment purposes, etc. The language is easy to follow and understand. I've had a lot of trouble with books about various aspects of technology in the past because I don't know the jargon and other technical language and the concepts the language represents. This book is actually great in that its easy to follow and it isn't filled with technical language and jargon that make it difficult to follow. I think that most people should have no trouble reading this text and making sense of it because it isn't necessarily written for only the people who already have a background in SQL. SQL is Structured Query Language. Its a computer programming language ""designed for managing data"" or ""for stream processing"" in specific data management systems. I think this is a great place to start if you don't have any prior learning with programming language and even better if you do have some background. Either way, its useful knowledge to have and the book is a comprehensive breakdown of the concepts that walks you completely through everything that you need to know.
I do have to mention that I received this book either for free or at a discounted price in exchange for my honest and unbiased review (the Kindle version is free to anyone anyway and you can use the product link to read it whenever you want) and this review accurately reflects my thoughts, opinions, and observations of this particular product."
"107","I've read a lot of different SQL books for reference and referral purposes, and this one stands out. Walter Shields truly understands how to present and teach SQL. His explanations are presented in a non-techie style while at the same time, he builds on the last, bite-sized, example script. He presents SQL in a fun way but makes sure the underlying principle of what he is talking about comes through. If you are considering getting into the world of SQL, this book will take you from the very basics to having a good understanding of what SQL is all about. Mr. Shield truly knows how to teach and present the basics of SQL and I recommend his book if you are at all curious about SQL."
"108","I thought this book was interesting and had good information on SQL. I personally have found out through this book that I don't want to go into SQL, however, if you're interested in that field, this book would be a good one to read. If you do read this book be sure to read it when you're fully awake and can interact with the sample database (otherwise you'll make simple mistakes and get really frustrated)!
I received this book in exchange for an honest review from the LibraryThing Early Reviewers."
